Year,Age 4 Summary Biomass (mt) High,Age 4 Summary Biomass (mt) Low,Age 4 Summary Biomass (mt) High.1,Age 4 Summary Biomass (mt) Low.1,Age 4 Summary Biomass (mt) High.2,Age 4 Summary Biomass (mt) Low.2,Age 4 Summary Biomass (mt) High.3,Age 4 Summary Biomass (mt) Low.3,Spawning Biomass (mt),Age 4 Summary Biomass (mt) Mid,Spawning Biomass (mt).1,Age 4 Summary Biomass (mt) Mid.1,Age.4.median.2013,Age.4.2017
1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166767.574359861,155862
1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166767.281433218,155864
1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166767.01141406,155866
1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166766.68011415,155868
1912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166766.312482309,155870
1913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166765.933307187,155871
1914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166765.564550467,155873
1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166765.072028328,155874
1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166764.571801595,155875
1917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166762.253120461,155873
1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166758.088999576,155869
1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166749.128222027,155858
1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166747.175591632,155857
1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166744.620201387,155855
1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166740.883569869,155853
1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166738.257512676,155852
1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166737.79685178,155853
1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166735.654658534,155852
1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166727.483854784,155843
1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166719.858258502,155834
1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166704.798936849,155816
1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166691.591607225,155801
1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166671.235039448,155782
1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166641.627774686,155751
1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166608.718879841,155717
1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166590.769567771,155704
1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166575.742347651,155694
1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166564.585152252,155686
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166542.780345075,155697
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166517.388635731,155725
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166485.656724463,155762
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166448.894989401,155800
1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166407.071339693,155839
1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166294.094595228,155816
1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166140.856222749,155758
1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165850.68792743,155600
1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164842.028641707,154507
1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163104.724390275,152562
1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160075.642049812,148890
1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158318.310593259,147326
1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157598.614455976,147219
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157106.753562342,147281
1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156763.604328466,147917
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156429.191929326,147924
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156206.321484784,147869
1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155802.896751094,147464
1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155538.147102065,147720
1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155066.948863994,147552
1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154841.25962577,147142
1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154110.896097991,146246
1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153335.417397683,145041
1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152780.549003678,143552
1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152084.820126916,141763
1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150925.456260315,139350
1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149878.100637849,136797
1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148434.33443037,133837
1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147576.498566547,132480
1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147080.40234821,133600
1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146647.695202905,134513
1967,177455,135754,153557,129505,134884,133024,129150,127092,37480,137590,28418,105305,143064.409346509,134288
1968,173256,132276,147221,123814,129414,127484,126635,124432,37078,135210,27512,105541,141536.540711376,132632
1969,166374,124650,142111,120144,124249,122567,122571,120257,36229,130160,26643,103931,139789.327264844,129725
1970,159426,118185,135964,114725,119118,117397,118161,115748,35264,124600,25882,102199,137570.424446481,125228
1971,156297,116013,131199,111370,115065,113513,116412,113861,35007,121730,25618,102147,137030.401181501,122836
1972,160466,119458,133480,113918,118127,116516,117486,114843,34702,121610,25739,104457,137084.237072299,122302
1973,159232,118674,130539,111763,115760,114251,116908,114224,33817,122300,25762,106041,136448.95980527,120474
1974,154492,114260,128298,109687,114342,112823,114290,111606,32245,118510,25966,106243,136121.948874655,117160
1975,151185,111436,122176,104710,109587,108119,112022,109320,31144,115060,26438,105872,136271.08399299,113624
1976,145346,106259,120140,102956,107746,106330,110003,107304,30151,111690,26897,105399,136522.809532931,111024
1977,141170,101959,114740,97974,103653,102140,107357,104597,28805,107140,26383,102587,134167.147823629,106966
1978,142365,101713,118372,99394,106005,104302,109968,106995,27584,109730,25578,106004,131365.206648669,105344
1979,144007,100868,116554,95903,102467,100440,107488,104331,25119,108520,23301,104533,125823.624981121,101812
1980,138458,93701,114974,92166,98169,95881,105635,101699,22164,102430,20683,101280,120522.483006624,99389.7
1981,137793,90678,116293,90631,96399,93654,105477,101230,19550,106020,18469,102419,115377.414728791,98766.1
1982,132585,84261,117277,88582,92875,89825,103018,98362,17645,102670,16605,99819,109336.132987684,95070.3
1983,123083,74383,111160,81322,85713,82388,97420,92440,17006,96481,15440,94528,103362.747496388,89091.8
1984,120152,68969,108198,75779,78581,75019,92515,87101,17252,91979,15243,90452,98524.5685064816,82768
1985,119639,65613,110749,75674,77983,73871,93499,87706,18960,94567,16491,92702,96694.610305466,82664.5
1986,120756,64189,109883,73331,74571,70261,92822,86640,20946,92620,18314,93057,96874.3828611204,82505.1
1987,119507,62352,111949,73067,71391,66703,96468,88848,22153,96346,19531,96451,95819.0202320538,82973.1
1988,118241,60673,119019,76008,69408,63479,97226,87373,22616,100540,20494,97301,94669.6362865474,85462.3
1989,116303,58781,111346,69130,64218,57618,96375,84620,20557,100680,18836,95525,91972.2756535591,85412.8
1990,115556,58376,104943,62893,59063,51632,94013,80934,20149,98386,18334,94476,89955.9968134884,87663
1991,NA,NA,102147,61478,55839,47230,99056,83218,20120,103840,18323,100691,89054.6615471976,92126.9
1992,NA,NA,100003,59922,51098,41799,93609,76507,19989,97943,18037,94183,88289.2334945993,94360.8
1993,NA,NA,95755,56194,43063,32984,88064,69331,19404,94860,16988,90489,84504.4152848825,98970.4
1994,NA,NA,NA,NA,38106,27818,83339,63572,19051,97720,16337,92822,81777.7055523377,106201
1995,NA,NA,NA,NA,33651,23307,81053,60186,19506,94227,16181,92272,79450.552867279,112518
1996,NA,NA,NA,NA,30079,19741,77950,57141,19107,88013,15536,88302,77633.7095163714,116732
1997,NA,NA,NA,NA,NA,NA,74605,53675,19431,80799,15916,83276,74396.2547112772,117476
1998,NA,NA,NA,NA,NA,NA,NA,NA,19285,72672,15968,77496,76340.0500635613,122577
1999,NA,NA,NA,NA,NA,NA,NA,NA,20298,71341,17174,72569,77260.8997636932,125806
2000,NA,NA,NA,NA,NA,NA,NA,NA,20528,69364,18028,73027,77464.5663818729,125114
2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18539,71371,77075.2794977163,124036
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18750,61969,78204.3491366965,126995
2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16377,58025,80614.8753906779,130782
2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17396,72152,83619.7792269032,138202
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86374.4998033436,141160
2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88814.3378324118,140256
2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92104.4769627907,139691
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95781.5591514282,138778
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99173.9689788282,134915
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102051.61212577,134223
2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104656.402191621,129317
2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106684.240727908,129701
2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108467.944439728,125705
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127512
2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125627
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123868
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124456
