"area","year","est","lwr","upr","log_est","se"
"OR",2013,2037.45239600252,1080.51532939761,3841.88188083434,7.61945548091693,0.323609067694683
"OR",2014,4916.19468458694,3067.58133625367,7878.83597123382,8.50029007213671,0.24063981998513
"OR",2015,3591.53604110177,2255.35010677334,5719.34756195675,8.18633525657568,0.237389443054867
"OR",2016,4308.78251858677,2768.85385453422,6705.15952370557,8.36841066490716,0.225627575693762
"OR",2017,4061.75408370295,2636.70566947119,6256.99198340418,8.30937019961415,0.220455395390555
"OR",2018,2804.57030606565,1713.70785289575,4589.82234829245,7.93900561765383,0.251326547049595
"OR",2019,6501.9624813976,3534.90613750944,11959.4451634543,8.77985933053001,0.310932909834055
"OR",2021,2255.50887310329,1288.04244826622,3949.65265585425,7.72113089082577,0.285848123942732
"OR",2022,3551.84891481029,2068.65849849974,6098.45980996298,8.17522356796256,0.275805047649733
"CA",2003,1165.3236063843,647.429022425781,2097.49495397728,7.06075410114826,0.299875373269274
"CA",2004,1094.97215735875,561.770684160731,2134.25879846702,6.99848421485769,0.340511605722626
"CA",2005,889.036816304208,501.109807411085,1577.27198521168,6.79013864782199,0.292512208798617
"CA",2006,858.02417928784,414.712351519212,1775.21959388389,6.75463228007904,0.370949229055963
"CA",2007,892.970907537246,487.522993756686,1635.60909314948,6.79455400200006,0.308789626119646
"CA",2008,1432.26371166686,718.527155111243,2854.97816632991,7.26701148675787,0.351949318060917
"CA",2009,465.70001593192,227.541637753799,953.128873378557,6.14354168419902,0.365419183776049
"CA",2010,952.100257112149,529.666023836018,1711.44619212666,6.85867034133903,0.299201251527128
"CA",2011,867.526361806469,467.966297242812,1608.23972338048,6.76564589960883,0.314929062774404
"CA",2012,1103.74686473611,629.735516853912,1934.55364801572,7.00646591135795,0.286314442032183
"CA",2013,843.064731821253,438.61785517926,1620.44963206151,6.73704374250492,0.333381226910678
"CA",2014,2159.24183012035,1309.15522745555,3561.32350325111,7.67751243448778,0.255298104858963
"CA",2015,1569.60279670869,953.925935513032,2582.64593478188,7.35857787060659,0.254082137136589
"CA",2016,1931.60579406447,1185.14709614982,3148.21759744813,7.5661069536141,0.249231506206074
"CA",2017,1811.67132637835,1117.73217004501,2936.43958971794,7.50200508294186,0.246406578596763
"CA",2018,1211.76426191437,715.532973620664,2052.13830890668,7.09983264434004,0.268782980624072
"CA",2019,2868.2451895619,1500.11146866185,5484.14610467822,7.96145568954437,0.330700460766871
"CA",2021,921.433580331154,512.838827724535,1655.56856669585,6.82593069673804,0.298969308379385
"CA",2022,1495.59212404755,840.115897445922,2662.4847932449,7.31027747700695,0.294259295622948
