"year","month","fleet","sex","partition","input_n","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56"
1994,"7",1,3,2,129,0,0,0,0,0,1983.3726,281608.4437,1266925.7561,4823127.1406,12068343.5279,14788875.0997,20427575.1752,18804129.2757,21952457.6659,19257005.8743,8917560.5639,4634286.5384,936857.7229,193562.5077,0,0,0,0,0,0,845576.0202,2202906.9229,7307137.2163,20072286.0779,31230474.3314,30453075.1572,30721238.3538,11410419.97,5882880.3756,788130.1807,195848.8199,32665.8886,0
1995,"7",1,3,2,123,0,0,0,0,0,282219.7832,897281.4095,2995614.6639,6901319.2598,16874388.4877,18090211.8604,17820554.9185,17919818.655,18526642.0987,15305792.5125,10670881.6999,6782863.9248,2290776.7662,1401476.9979,0,0,0,39.1111,1020.5746,386566.307,1619900.0178,4351174.2655,9570254.0309,19052864.2325,24718713.7277,32112947.229,29306391.0198,19917947.6694,7334304.2298,3134121.2092,86.6374,2110.0964,0
1996,"7",1,3,2,118,0,0,0,0,8256.4328,638169.792,807033.9416,5403277.5677,2833421.2207,6497382.5709,8698434.1618,7831521.8325,8082522.5039,8675415.2159,6592864.5327,4965148.5929,1839624.2541,314698.6729,209797.9691,0,0,614.6866,1229.3733,614.6866,70076.9965,1677136.701,3627095.4867,5081735.8266,8100119.3062,13035701.9559,15997116.7183,11050254.3639,6470217.2909,1316106.51,680589.7199,0,755.8233,71.0994
1997,"7",1,3,2,157,0,0,0,37.9925,37.9925,1606.4335,3963.5091,1630239.0796,3550773.0202,5152133.1046,8121229.1145,8221289.7509,12477106.1629,13781620.4155,12243456.9655,6152003.9473,2748431.629,794721.9385,392611.4344,0,0,0,303.7714,56.9888,75613.2108,32294.1901,1969912.9035,3276049.7651,7057573.1638,14695311.5161,18103189.1899,18722453.7936,9402273.7536,2941159.5834,944448.116,387492.1411,0,65244.5083
1998,"7",1,3,2,136,0,0,0,0,459.2017,302.3083,5494.804,1564543.1757,4022005.9347,10695462.5668,16733054.8448,15630853.639,17495934.8106,20095857.7861,14982432.5968,11346943.7613,3462506.9028,1792661.7269,0,0,0,0,0,120.0306,283303.6997,8171.1981,1885057.8069,6046925.5651,14057781.9468,18135543.5754,28019018.9405,15222651.7428,8602769.5005,2774635.1657,1107385.7737,59261.1627,130.8993,0
1999,"7",1,3,2,153,0,1016.4293,0,1016.4293,561692.379,2554.7081,574891.6033,1462428.1878,1988919.9831,7772109.6586,11127073.1367,12339882.7267,10619108.1323,9714946.8379,8635548.3901,3445180.9497,2020850.3765,942345.7337,372622.5577,0,0,0,0,5837.4175,1586.0775,283116.5904,1311967.7427,4109166.1136,9331522.9587,16995243.1775,16799678.0219,11645218.5151,7393652.0617,3011823.4943,34578.3086,246628.9069,0,9326.8743
2000,"7",1,3,2,139,0,116.0537,0,0,0,20068.9959,89673.8733,731876.3621,1324016.8564,2457820.7435,7360277.2463,12312925.3131,14013815.7671,9559654.7878,6387114.5342,3740508.5432,1405164.582,62128.5454,0,0,0,0,7.4306,7.4306,199966.2786,298429.9693,1132021.439,1289467.831,4333618.6551,21007643.0981,21053872.9597,13806446.832,6072733.6958,2342600.852,396634.9533,0,0,0
2001,"7",1,3,2,138,0,0,0,0,67744.7299,169.5757,0,95.8768,391864.9816,1561835.0233,2617102.3995,4770486.1203,12994454.6769,14853757.6434,11385178.2399,5009631.2029,2950729.2591,702144.7557,25248.7117,0,0,765.7368,0,0,0,8500.281,299258.3798,1133355.0671,4857019.2987,9239196.9501,16598458.8967,17344455.9419,7042842.5848,2487185.2087,440197.1733,233097.3472,81647.2084,0
2002,"7",1,3,2,86,0,0,52.9852,17.6617,70.6469,21.421,10239.4375,494.785,158356.0199,277070.5398,2495144.3748,2909810.652,8578125.9005,11732927.006,10160793.3565,6020112.844,2788279.3228,1085952.8727,20497.0936,0,0,70.6469,0,17.6617,52.9852,459.485,350104.1051,365521.5681,2145044.058,6860063.0141,21174605.2263,16912085.3678,10859046.835,3132500.646,995628.7663,182281.9736,134495.8433,0
2003,"7",1,3,2,65,0,0,0,0,0,164843.9212,181267.7354,159626.8584,513854.7107,1085424.4889,1874450.2327,3056997.8104,4013303.7681,5640881.8703,13116514.1455,7713527.6999,3236506.138,1552078.7901,384023.0161,0,0,0,0,82404.4583,247213.3749,250348.6048,82474.8762,246329.9391,1522062.0535,5875281.24,10326477.9695,12809782.1935,7834325.4392,2248852.3967,404627.7686,234954.1941,21826.5406,21842.4927
