"year","month","fleet","sex","partition","ageerr","Lbin_lo","Lbin_hi","input_n","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18","m19","m20","m21","m22","m23","m24","m25"
1994,"7",1,3,2,0,-1,-1,123,0,0,0,1870.5727,411949.6776,2347820.4531,13633713.7261,19356528.5639,27557811.8027,23162712.1111,17075435.3057,16622087.7941,15711769.4958,8258752.9374,5518674.3836,4405650.9611,1103934.9809,1264773.2437,842875.3606,642513.228,831870.3199,420414.151,207107.4177,2864.4369,0,0,0,0,0,482389.8123,3932996.8913,14009822.5674,23043061.3147,29759640.3733,30081254.721,20347505.9553,15330166.577,10896942.6941,8160877.7121,7192070.7791,4143166.6659,4144540.5087,2704206.1476,2837891.5867,1516020.7453,1595320.1702,12983.0448,4838.3126,361744.6422,213426.5093
1995,"7",1,3,2,0,-1,-1,105,0,0,0,0,830551.7188,7471305.0826,11973687.8608,26586758.5411,28747691.6968,25155628.0385,20587184.0419,13591716.3992,11868993.1076,8811249.0734,5386754.2362,3088594.1103,3507580.3997,1972689.9998,1864963.8642,2059339.8583,414464.1861,211602.057,411583.4652,206399.9449,205375.6934,0,0,0,3572.4008,830953.3011,7393727.2838,11728493.6944,28496434.6513,30892995.943,31677089.57,23494244.069,19109013.1453,10111918.7506,9421168.2807,6927883.812,4531009.316,3100308.196,4369094.0358,2792352.1289,2822108.7048,1035518.5731,1232066.5783,827923.9205,416573.5814,616262.7564
1996,"7",1,3,2,0,-1,-1,116,0,0,0,4335.2325,1180305.2981,2742160.9118,6610473.847,7364046.1105,9406913.7638,5759634.1319,3543057.3259,2996093.884,1025099.8109,1224221.1934,690964.7589,342359.5252,639500.6026,21944.5244,15027.4363,5237.6995,5178.9432,208150.052,254.0133,1105.6586,313.9336,0,0,16.0043,2039.8255,1605392.8256,3756313.3574,7294946.7505,9384699.3184,8753888.0834,5134574.6224,6604858.8905,2769175.5266,1353498.8076,963756.9515,854161.1606,274428.4863,57465.3072,1091295.2794,302829.2327,470900.2576,20411.0576,210759.4232,211009.173,6890.047,2537.8346
1997,"7",1,3,2,0,-1,-1,154,0,0,0,1866.9724,212150.4595,634435.6134,7049975.8439,12559562.485,10200437.3917,21083172.5696,16698799.7051,15192475.6209,10382429.7177,4564693.6223,3487796.5106,2816961.0989,1186614.9484,959289.2933,446682.358,579162.8541,802457.9315,622088.9408,379147.7446,160959.5577,908.2334,0,0,0,619.9996,288532.0678,974834.2808,5486105.1366,13433228.717,12499472.4545,21560759.4414,19062703.8062,13265968.9937,10779591.2666,6061009.7883,2948543.2048,2541383.5322,1384144.8863,1538746.6827,760768.4191,2088199.9296,1212743.6124,718291.8768,340583.1318,81494.4376,236604.679
1998,"7",1,3,2,0,-1,-1,110,0,0,0,0,210132.5256,1194357.7184,5957919.4917,18725376.7034,25962911.6515,19358719.2099,25285939.7258,26052498.5518,17907267.8488,12780213.9391,12073577.8684,4431788.7422,3542962.0085,3170537.2015,1166025.3288,843086.306,869959.6073,413117.5032,254791.7097,108285.1175,206561.1856,0,0,0,2184.0681,216098.1165,2120309.6168,6705187.5636,15940233.3799,25110616.0392,15877811.101,20335487.943,21313869.4138,14110968.1367,11761611.0728,7757955.59,4731961.8485,2928655.9524,1708583.4267,1559729.7535,613403.1537,521012.6868,686207.1023,919396.3149,782537.9251,135369.2915
1999,"7",1,3,2,0,-1,-1,150,0,0,0,0,618345.1634,1438984.517,4052324.4524,8736812.3906,17386086.3084,19966772.7504,14393527.1393,14132380.8445,8622367.0692,6694697.2087,5074397.8187,3664222.016,1710683.1208,1333617.4669,586018.8631,1052283.3783,709828.7759,512577.0444,464376.2065,521767.9674,205816.6842,0,0,0,1835.2187,3824.8521,559377.425,3632198.8289,7535718.4568,22419268.4087,22457796.6682,14167833.1491,13944510.8905,9432115.8083,7657901.5509,4148897.9756,3417691.7721,2073343.7031,875133.2676,1585756.2383,1082536.7206,744509.9213,1099509.8159,810956.0914,1123598.8116,1269266.9086
2000,"7",1,3,2,0,-1,-1,134,0,0,0,39298.6274,77183.4765,1319340.4632,2806096.2056,10830524.6575,18296847.3938,21321260.8191,27488362.8974,10971004.3149,7592003.9398,5626024.894,5626188.7806,2689062.9163,611995.7266,900501.4901,494845.116,715076.3037,313485.1447,403113.5761,421681.5119,356708.0535,236682.807,0,0,0,0,589078.2673,3422004.1444,4707544.5367,9652249.6699,28066832.5041,21698461.8072,29269447.213,9596092.7178,8938920.9915,6219712.473,6282212.713,3768250.1586,2763017.9686,1720228.4013,862951.4875,741244.3717,644245.1536,518234.4866,641925.5683,838230.8874,557469.4369
2001,"7",1,3,2,0,-1,-1,133,0,0,0,49.9465,969.4515,591230.8403,2241405.4035,2576773.1201,5390390.3766,6993365.4633,18479208.0286,21494722.3707,12725100.0813,7037991.91,6305610.2009,4510844.7969,2476133.7604,1558212.6182,2226586.753,376706.0544,919127.4329,472170.0262,490531.2579,604236.1121,453164.9738,0,0,0,40.9394,37.524,1149820.7686,2908358.1025,2189516.6463,6859103.4775,6949758.2088,22251556.0892,19620468.1653,10920885.918,5930867.6124,4198216.3193,3203946.9827,2913520.0995,2490897.2416,439258.7051,1029010.6951,945287.4759,841948.1333,873119.9628,538489.6812,255443.0385
2002,"7",1,3,2,0,-1,-1,81,0,0,82.2049,389.5961,10889.0838,24359.9208,655890.4664,3540885.3366,1888259.1157,5968120.2202,9520595.4496,12090336.4272,10338643.5064,7772912.4086,4801356.9982,3717125.7504,3355584.9909,1632091.7359,936228.8214,833195.1103,975090.859,457117.9129,531924.5725,252918.5382,221571.1356,0,0,164.4098,260.3355,1029.2832,639470.1135,1507611.029,5304774.7195,4399888.2826,7630378.8817,15290950.9817,18239358.4667,15427295.3736,13074616.4352,6456514.3279,6312082.0548,4432615.452,3536841.1992,1301025.4417,1835372.4768,1582853.4138,1049464.4601,778506.6104,538550.4658,347239.5824
2003,"7",1,3,2,0,-1,-1,58,0,0,0,82404.4583,1028305.105,609796.4514,1621531.3014,4667681.9543,6079944.6139,2279751.2903,6990170.1672,9575179.2735,12906818.004,10845062.38,4139153.8512,5370887.2092,3082415.2121,2291231.9419,1282847.789,761998.432,784585.2176,416214.4582,260464.9437,397250.9768,78842.0946,0,0,0,148880.7876,647307.4859,892040.5439,2184086.0644,3776563.4294,5994804.0002,4571833.1706,8065266.5957,8816705.2136,11682277.4094,8099574.9135,5444940.9752,3227633.3269,2268020.3995,2556195.3802,1551823.2147,1279573.9657,1068282.9628,1352953.6934,387230.6389,45665.9608,542413.7123
2004,"7",1,3,2,0,-1,-1,77,0,0,0,41.4567,91007.2136,1800721.9059,686157.8675,2497450.6226,4903741.4036,5834623.3373,3450775.1833,6498610.3061,8096547.926,8361031.5523,6056998.8495,2473871.6113,2507208.3116,671451.6028,886151.326,455634.8116,541559.771,627077.0368,514905.1719,104312.6935,155559.6673,0,0,0,163457.0005,164352.935,410502.8789,1315376.202,3001255.8788,8502515.5267,6506560.9892,7167275.1471,8598586.1379,8594053.4752,9725685.7113,8543333.8749,3334458.1481,2691738.5252,1586364.6494,925987.5393,1800636.4641,1020854.8767,230488.7293,271643.2056,375765.4619,501125.6184
